overall,reviewText,,,,,,,,,,
3,Ordered this last year sometime. It was confusing as to how to put it on at first. The phone was in the way of my meter and other things covering my dash board. Good idea but not so good idea.,,,,,,,,,,
5,"I wanted to get a case for my wife's iPhone.  The iPhone 6 Plus body is a little slippery.  Plus I read that the finish will easily get scuffed over time.  I decided on this Anker case because it protects the screen and protects the body.  Plus its splash resistant (not waterproof) which should be good enough for our purposes.The case is definitely high quality.  It looks premium.  The cutouts and moldings are perfect.  It adds the ""grippiness"" we were looking for.As other reviewers mentioned, 1) the port covers can be hard to close and 2) more color options would be cool (like pink).  Anker should also consider making a Qi wireless charger case similar to this one.I've purchased several products from Anker.  They have definitely become one of my trusted brands for computer and electronics accessories.  This iPhone 6 Plus case is no different- high quality at a good price.",,,,,,,,,,
5,as expected,,,,,,,,,,
3,Great case with a cheap kickstand that would occasionally come off. I was always able to put it back on until the last time and now it won't stay. It was used infrequently only when I forgot my Kindle. Just a poor design. I'm now shopping for a case with a more sturdy kickstand.,,,,,,,,,,
4,Great protection. The back is smooth and not rubberized so don't expect that excellent grip like some of the other speck cases.,,,,,,,,,,
5,I was actually surprised how easily the film was to apply. The instructions were so detailed it was hard to mess it up. Very pleased with your product.,,,,,,,,,,
5,Gorgeous and protects from falling.,,,,,,,,,,
4,It works well.,,,,,,,,,,
3,"Even though all tools and instructions were provided and the cost was great, I found it a bit difficult to use.",,,,,,,,,,
5,Looks clear recommend,,,,,,,,,,
5,very good,,,,,,,,,,
5,Very Good,,,,,,,,,,
5,Great case but really bulky. It protects your phone perfectly. It doesn't go in and out of pockets easily. The print looks great. It's taken a while to rub the print off. A great case at a great price. I purchased this product at a discount for my honest review. I hope this was helpful.,,,,,,,,,,
5,Best bluetooth out there in sound quality definetly worth it. We have gone through 3 sets and they are just the only ones that truley hVe high quality sound.,,,,,,,,,,
5,I have gotten so many wonderful complements about this cover it's just beautiful !!! So if you like bling ans silver and the cross get it while the price is right!!!,,,,,,,,,,
1,Used and scratched item. Not good.,,,,,,,,,,
5,Another great OtterBox product,,,,,,,,,,
5,This is the best tempered Glass Protector I've ever got. Very well made and comes in a reall good package.This is a must have.,,,,,,,,,,
2,"I all the members of my household have Samsung Note phones. We all have shields on them, but we were in need of new screen protectors and thought to try this out. It came in a set of three with a wet wipe, three dust stickers, a squeegee, and a dry duster. It was easy to clean my phone with the wet wipe and dust stickers. It was a heck of a lot harder to get the screen on the phone. You had to peel off one layer and stick on the other. It was really hard to match up and get all of the bubbles out. I tried using the squeegee and it ended up just scratching the screen protector. I had to throw away the first one and the second one I could not get all of the bubbles out. This was very difficult to apply and it was not clean and was hard to see my screen. I prefer tempered glass because this is very flimsy. I do not trust this product to fully protect my phone.I received this Stalion Set of 3 Samsung Note 3 shields at a discounted price in exchange for an honest review. This review is entirely unbiased and is not dependent on my discounted price. I hope that this review has been helpful to you!",,,,,,,,,,
3,"This is a really good product. It comes in handy when there isn't a plug in station in sight. I use mine everyday. I have it three stars because I believe that it would've been more resourceful if it came with its own USB port to charge the battery considering that the life of the battery goes down whenever is not plugged in. If you don't plan to use it everyday, I would recommend you charge it a day before you know you will use it. Other than that,  it works perfectly fine",,,,,,,,,,
5,100% recommended,,,,,,,,,,
2,"I bought this from the aforementioned seller and the back looks okay on the back. However, the back side that needs to fit the iPhone 4s has some low quality plastic tabs that do not quite line up with the original back. I had to use a heat gun to mold them closer to the original's shape and then it finally slipped in. Looks like a fairly tight fit, plus the two screws at the bottom should do the trick.Just wasn't worth paying return shipping. However, if you don't have the patience to do that kind of stuff, try a different seller, hopefully with a better product.On another note, I think Amazon's decision to lump reviews together for products is rather confusing and doesn't do any service to products. This product for example has 4/5 stars. But a lot of sellers stock the ""same"" item, however not made by the same manufacturer. I've bought HDMI splitters before from 2 different sellers under the same product and they each shipped their own version (not even the box looked the same). You should be able to group reviews by seller.",,,,,,,,,,
1,phone now has a mind of it's own. works when it wants to and I have to constantly shut the phone off and turn it on when I am unable to make calls.  I have tried everything on my end to correct problems with this phone. I am purchasing a new phone today and it will not be a motorola.,,,,,,,,,,
5,Fit great and look great too. Gave some away to my friends cause it came with so many!,,,,,,,,,,
4,good,,,,,,,,,,
5,Great fit for my samsung galaxy s3 will order more again and again I orders one cause didn't know how great it would have been love it.,,,,,,,,,,
5,Loved it! It is same as pic and quality is great!,,,,,,,,,,
3,Nice and stylish,,,,,,,,,,
5,"Works great on my LG G4 with Otter box case, turns off when charged and tops off the charge as needed. Wish it had a smaller footprint, but otherwise an excellent product.",,,,,,,,,,
5,Love this easy peel colorful buttons,,,,,,,,,,
5,Great product,,,,,,,,,,
5,easy to install after watching You Tube videoand its got no bobbles,,,,,,,,,,
4,"Once you figure this mount out, it holds pretty securely.  I found you really need to get the rotating arms adjusted perfectly with the corners of the tablet seated firmly into the little pads before you tighten down the straight hook, otherwise your tablet will try to slip out.I'm a bit disappointed in the mounting option for the wall piece.  The two screws are way overkill for a ~1lb tablet.  I wasn't willing to put two big screw holes in the wall just for that.  I picked up some big 3M Command Strips at the store and used that to mount the wall piece instead.  It may not be quite as secure as the screws, but I'm confident it will hold just fine.  I have used Command Strips for much bigger/heavier items and never had any issue.",,,,,,,,,,
1,"the colors of the bumpers are cool but the are to week, they break very easily and the rubber gets torn also.",,,,,,,,,,
5,"Good charger, does not get too hot and can charge both Android and apple products simultaneously.",,,,,,,,,,
5,These are much better than the original otterbox cases I remember. The outer shell isn't as tacky and seems to be much more durable. My wife is very hard on her phone and this case still looks brand new after a few months.,,,,,,,,,,
4,"I love these especially the macro lens. Wish the clip was different tho other than that it's a real good bu, don't buy ollio, or what ever it's called. This is the same but cheaper only thing I give ollio is the double clip, but you can use this on both sides just have to switch it.",,,,,,,,,,
5,Nice comfy and slim case,,,,,,,,,,
5,works great all over,,,,,,,,,,
5,Works as described fast charging my wife loves it,,,,,,,,,,
5,A perfect and convenient solution for recharging an Apple Watch on the go.,,,,,,,,,,
5,Great for my car vent in my Sentra 06 and Camry 2014. Holds my Galaxy note 4 no problem and does not drop my phone.,,,,,,,,,,
5,"These were easy to get on and work well.  Slight bubbling around the edge, but that's because I probably didn't put them on perfectly.",,,,,,,,,,
5,nice one,,,,,,,,,,
5,(*;*)(*;*)(*;*)(*;*)(*;*),,,,,,,,,,
5,"I wanted a small portable speaker that I could use for my MP3 player, Tablet and on occasion my laptop.  This product works great.  Recently went on vacation and used the speaker to play my MP3 player for hours for several days and it works great.",,,,,,,,,,
5,"i'm not into Hello Kitty , but I must admit I bought this because we have 2 diva kitties , and I thought it was cute..Not disappointedit is well made with extras { beads and glue } I also bought a charger dock plug {  1 pink  and a pink and white one } with a little hello kitty anti dust plug for the top , it looks really sharp..Shipped fast and well packed ..Would buy from again..Thanks..~!~",,,,,,,,,,
3,"Very nice packaging,  easy to install. . I installed this dead on no bubbles,  3 days later hairline spiderweb cracks on one of the corners. . Removed. . Not necessarily a bad product just not for my application I guess. .",,,,,,,,,,
1,"Don't waste your money. I had this for over a week. At first it charged beautifully, it's light and very thin. But in over a week it became harder and harder to find the right spot for the card to charge. I had to reposition the phone a few times just to get it to the right spot before the charge kicks in. Eventually it just wouldn't charge. I'm sending it back.",,,,,,,,,,
2,"I've used anti-glare iPhone screen protectors on my iPhone 4s and I loved them. I use my iPhone as an outdoor camera a LOT, so I MUST have a good anti-glare on the screen. Otherwise, I'm shooting blind.These particular anti-glare screen protectors are not great. They are anti-glare, yet the screen is almost impossible to see outdoors. I don't know why.I'm waiting for a better brand to release a decent anti-glare screen protector for my new iPhone 6.",,,,,,,,,,
3,"If you can ignore the edge to edge discrepancy (It is not an edge to edge screen protector) then it is a decent item.  I've had a few of these for different phones and this one is of at least average quality from what I've seen and as such it's better than many.  My issue ultimately comes back to the phone screen design of having curved edges I imagine there is no way to make an edge to edge screen protector for such an item unless if it were curved down around the edges somehow.  Anyhow, this is not edge to edge, which was the reason I bought it.  I trusted them and they got my $10.  Good for them.  Thanks guys.  I'm not returning it because I will ultimately use it I think but for what I got there are people selling basically the same thing on amazon for less than $5 for 3 of these protectors with free shipping.  Why would I buy from these guys again for $10 for 1 piece?",,,,,,,,,,
4,The battery life is amazing the charge speed is excellent the charge indicator is easy to read the weight and size is more reasonable than I expected the only downside is there's only one USB C port but it's hard to consider them a downside considering most chargebacks don't even have a USB C port to begin with. It even came with plenty of optional charge and a carrying bag that's perfect for keeping them cables together.,,,,,,,,,,
5,"*** UPDATE - 01/30/16 ***I've revised my ratings to five stars, from four stars, because my initial concerns regarding the lower rubber portion were unfounded.  This is a solid case that fits as well as when it was brand new.  It has also protected my phone perfectly during any and all accidental drops thus far.*** End of Update ***This holds my phone securely just like every other Otterbox I've ever owned.  I like the size and width, but I can also see the full rubber portion at the bottom of the iPhone 6s loosing its firmness and getting all ""loosey-goosey"" with some usage.  There doesn't seem to be enough hard support at the bottom of the case to keep these shape, but time will tell if I'm right or wrong.  I'll try to remember to update this after a few months of daily use.",,,,,,,,,,
3,The color started coming off 1 month after I got it,,,,,,,,,,
5,works great no problems with it so far alot of battery life,,,,,,,,,,
5,Works great with my iPhone 6! Came in the mail very fast! Included the battery too,,,,,,,,,,
5,"Disclaimer: I received this product in exchange for my unbiased Review, I would give my honest opinion about this product.Is a great case design to protect your Galaxy Note 5 from anything that could happen. The case fits well and all the bottoms are in the right place. This case is also waterproof  up to 10 minutes which is awesome. Also the metal frame brings a stylish look to it and you get some accessories for your case. I really like it and I do recommend it. I plan to buy one for my sis.",,,,,,,,,,
4,"I really loved this converter for my London/Paris trip. It was great in London (which is where I spent the majority of my vacation) and I didn't have any problems. However, in the hotel in Paris, the electrical socket was slightly sunken into the wall, and it rendered the converter useless without an additional piece from the receptionist in the lobby. It could have just been because the hotel had more modern fixtures.It's certainly not the nicest one you can buy, but it worked really well for the three weeks I was gone.",,,,,,,,,,
2,"Not my favorite phone case.  Had to pull my phone out to use it comfortably.  It is all personal preference with these cases, but I prefer otterboxes.",,,,,,,,,,
1,DOES NOT WORK AFTER WAITING ONE MONTH FOR DELIVERY,,,,,,,,,,
5,"Fits great, nice color.  Happy customer.",,,,,,,,,,
5,I am so loving this case! I love everything about it!  Highly recommended!,,,,,,,,,,
5,Really great sound.  Connection is stable.  Charge last a long time.  I like this unit more than the headphones with the built in blue tooth.,,,,,,,,,,
3,"Connects great to ipod but for some reason doesn't stay in ipad 2.When connecting to the ipod, you get that firm click into the device. It doesn't wiggle around or anything.With the ipad 2 however, the cable pops out if you look at it the wrong way.You have to have it lay flat and not disrupt it to get it to work.",,,,,,,,,,
5,Very well made for sons new phone. He's happy with this product.,,,,,,,,,,
5,"I got these belts for my gf and I to wear to Cedar Point. We usually wear sling bags, and have to rent the lockers, but with these we can carry our phones ( note5, s7 edge ) our credit cards and platinum passes and my car keys without any problem. My gf also carries a small hand sanitizer. These are great, as they are out of the way and we never have to worry about lockers. These are not bulky, even with our things in them, and you can't tell you are wearing them at all. I just wish I knew about these sooner.",,,,,,,,,,
5,Great!!!,,,,,,,,,,
3,"I expected this case to fit my iphone 5 as well as the previous Speck PixelSkin HD case did on my iphone 4.  It did not, The case has extra room in all dimensions so the phone slids around in the case.  It as if they made this case without the final dimensions of the new phone.  I kept this case but I'm still looking for a better fitting case that is still my favorite color of blue!",,,,,,,,,,
3,Well it works great but it was cut down from the regular size sim. But it still works great with my iPhone 4. If you want to get a prepaid iPhone this sim card will work. But if the card isn't cut right then it could become stuck or not fit in your phone so just be careful.,,,,,,,,,,
5,Nice case! Covers the entire cell and has a good feel. Not slippery at all. The case has a rubbery feel giving me a good grip on the cell. Covers the front with good protection of the corners. Good timing with delivery too. Easy to put on. All buttons work good and camera is not affected. Great job! Thank you!,,,,,,,,,,
3,I found this to be ok. Its better than most I guess. Not as strong or I find it more bendable than the Supcase Pro which is my go to for now. Also the little stand is garbage just pops out. Oh look at that the Otterbox has the defender coming out in June for the edge.,,,,,,,,,,
4,It does the job as expected..!!!,,,,,,,,,,
4,very good and freed,,,,,,,,,,
5,Easy to install and it works great.,,,,,,,,,,
5,"This charger looks pretty stylish. The blue outline makes you appreciate how amazing this looks compared to other bulky weird car chargers... Apart from the style it also works well, the two usb ports let me take advantage and charge multiple items at once which is helpful specially on long trips. I would recommend it.Pros: AllCons:----",,,,,,,,,,
2,"Does not charge well. It does charge, however if you use your navigation your phone battery does drain. Most 3coil chargers can keep up with app and navigation use. I purchased it for the ability to dock and wireless charge so I guess I'll have to rebuild this to work correctly.",,,,,,,,,,
5,"Exactly what I wanted. Fits my galaxy s5 perfect, easy to take off when I need to but sturdy and protecting like it should be. I got the green one and its beautiful, considering getting the pink one too because I love it so much.",,,,,,,,,,
5,"I fully charged 3 Samsung Galaxy Phones, a USB  rechargeable flashlight, a Bluetooth Speaker, a friends smaller portable battery pack (they were envious) All on ONE CHARGE! I can't wait for the gen. 3 or 4 to come out! I didn't see any LED light, that's spoken of, but I routinely take it from a place bristling with outlets, to a place where they have almost none (old building) and it was fine, and continues to be! THANKS FOR THE GOOD WORK ON THIS BAY VALLEY PARTS!  I will probably give it to my wife or oldest son. (Whenever I can find a decent triple USB Power Bank)",,,,,,,,,,
5,"I was on a trip and my phone wouldn't even last 4-5 hours before being completely drained because of the poor service coverage. I bought this to help me since I had to move around without being stuck to a charger on a wall for 30minutes to recharge. This answered my needs, by far.I can get a full two charges out of this (HTC One), and my phone stays on me so I can still answer calls. The battery LED meter is also a fantastic feature since a dead backup battery doesn't help anyone.",,,,,,,,,,
1,Broken upon arrival.,,,,,,,,,,
1,"Bought 3 of these.  I returned 2-3.  So, would not recommend however #3 is still goin strong.",,,,,,,,,,
4,Can use with the phone cover on the phone or without individual phone cover.,,,,,,,,,,
4,I figured I'd try something new is why I ordered this protector. I was skeptical when I opened the box. It was thicker that the previous types.I'll use them in the future if it's available for my phone type.,,,,,,,,,,
5,Awesome fit and look!,,,,,,,,,,
5,they are what they say they are and do their job well.  just be expected to order new ones every so often because if you drop your phone they will crack.  Afterall they are made of thin glass.  I trust Mr. Shield.,,,,,,,,,,
2,causes the CD player LCD screen to wig out and the controls on the radio to stop functioning.,,,,,,,,,,
3,"It fits great,  a little bit difficult to put on. The only detail i see is that the touchscreen is not so sensitive, you have to make more pressure than usual on it. But otherwise is good for me",,,,,,,,,,
5,Great band for the watch. Easy to install.,,,,,,,,,,
5,"This is an excellent phone.  Nokia Windows phones are outstanding.  It's really too bad this model was discontinued.  I bought two, they arrived quickly, well packaged. Will buy from this vendor again.Buyer beware- T-Mobile support for this phone is hit or miss. wi-fi calling is not supported and some frustration about 3rd generation software update. See their forum.",,,,,,,,,,
5,Perfect fit and great product.,,,,,,,,,,
3,I used this about 2 months and the problems I discovered are that the white layer seemed to press slightly up against the power button hard enough in certain situations that would cause the phone to power off.  Also the inner black layer was very thin and I noticed some wear points in it especially around the power button.  In fact the case I had has a completely worn through spot next to the power button on the black liner.  Again it looks real nice but the power button problem made me have to replace it with something else.  I really cannot recommend it at this time.,,,,,,,,,,
5,Great charger!  Quick reliable power in the car.,,,,,,,,,,
5,"Bought this for my daughter and she loves it, great cover at a great price.",,,,,,,,,,
5,"This phone is pretty much the best mid range smartphone out right now for Q1 2015. I got to try out this camera from a friend whose father works for Samsung and I decided to tinker around with it for a while. So here is my initial thoughts on on the Samsung Galaxy A5.__________Design: This phone from Samsung is special. That's because this one houses and aluminum body unlike Samsung phones that we have seen to this day. One of Samsung's biggest complaints is that their phones though at premium prices, lack a premium feel. This is kind of odd because they decided to make their mid range phone feel more premium. Is it me or something seems off here? I am pretty sure that Samsung will adopt the aluminum structure for their later phones and this is just a sneak peak into it.Despite the aluminum body, it felt really good in my hand and I didn't really notice the weight of it. I am a tiny person and often struggle with heavy objects but no problems here. The buttons feels nice to press and everything works responsively._________Processing Power: This little thing comes with the Snapdragon 410 processor with 2 gb of ram. Well in human terms, it basically means the specs are pretty decent for the price you are paying for it. Navigation is nice and snappy which I really like and there seems to be no hic ups with using TouchWiz with this device. I know that Samsung's UI often drains the smoothness of some of their phones, but I had no lag when I was using this thing. The 2gb of ram are a nice addition making multitasking fun instead of frustrating and gaming does well here too._________Display: This phone comes with a 5 inch 720p AMOLED display and though the screen specs are dated, I am happy to say that it looks great. Colors pop out and look really nice on the screen. You can also correct the saturation on this phone which is a plus because samsung tends to over saturate their images but it does make colors pop better.All in all it is great screen for the price.__________Sound: The sound is probably the biggest setback of this phone. There is one speaker at the back of this phone and lets be honest, it ain't that great. You also won't get any stereo sound effects coming out of this thing. Possibly the biggest setback of this phone.__________Camera: This guy houses a 13 mp shooter and it takes pretty good photos. With good lighting and camera placement, you can get almost dslr like shots from this. Low light photos however can be a bit washed out and grainy.The 5 mp front facing camera sound great from the spec sheet but pictures come out washed out in my opinion. The sensor on the camera is simply not good enough to capture a lot of light which iphone camera's are so famous for achieving.__________Conclusion: The Samsung Galaxy A5 is the most premium midrange phone out there. You will not be disappointed with this phone even when you just paid half the price from current flagship devices. It has a nice premium feel and the aluminum body will certainly attract the jealousy of your friends.",,,,,,,,,,
5,Great cable... works just as well as the OEM,,,,,,,,,,
5,"It's a nice case for iPhone. The quality of the leather looks fine too me.  Of all the leather products that were listed, I preferred this one.",,,,,,,,,,
5,I recommend the seller 100 % excellent products,,,,,,,,,,
4,works great.,,,,,,,,,,
5,nice!,,,,,,,,,,
5,Perfect!,,,,,,,,,,
5,very good,,,,,,,,,,
5,"I have always trusted ZAGG shields to protect my screens and this one is no exception. My only complaint with it is when I use it with my Otter Box Symmetry case it seems to peel up at the edges and corners, but I believe this was a user error and not allowing the shield to fully cure before putting the Otter Box case on it, I suggest allowing 2 hours after applying the shield before installing a tight fitting case such as the Otter Box, other than that working great on my device does not degrade the touch screen usability at all.",,,,,,,,,,
5,"These Panasonic batteries arrived on time and worked for my car alarm.  The price was so good deal.  I am strongly recommended any customers, who are needed this type battery.  To make sure get this one.",,,,,,,,,,
5,Great for changing up for different occasion. If one is going out this allows them to match there I-Phone case with their occasion. This is a way for them to do this.,,,,,,,,,,
5,"The Otterbox Defender case is designed to do one thing - protect your iPhone from hazards. I have yet to see a case that does it as well as this one. Impact protection is superb, with a plastic shell and a rubber exterior layer, this case could really save your bacon. A built-in screen protector is included - thin enough to allow screen swiping with no interference, while helping to keep dust and dirt out of the phone. The only issue I could see is one common to heavy-duty cases, there is limited room around the power plug. If you use any kind of charging stand you may have trouble plugging it in. Like all other Otterbox products I've tried, this is extremely well designed and built. It also comes with a belt clip - while I prefer holster type cases like this, I really didn't bond with the 3-point clip. It takes two hands to take it out of the case and it adds a lot of bulk to the case. However, if you want a case with a holster, you cannot do better than this one.",,,,,,,,,,
5,"I have had several Seidio holsters and they always work perfectly with the intended cell. Just be careful that the phone is firmly in the cradle before letting go of it. It is easy to insert it improperly and have it fall out. Note this item is only for a ""naked"" cell - no case.",,,,,,,,,,
5,"Perfect fit for my BLU Advance 4.0 and easy to install.  I noticed on my Blu, that the touch screen works better and the sensors respond faster, due to the cut out for them.  Great job EZ Guard!!",,,,,,,,,,
5,Works great!!!,,,,,,,,,,
3,It sounds really good but I broke it with a water bottle.,,,,,,,,,,
5,Omg I was amazed when I got mine lastweek!! It's soo pretty.. My friends love it too and might purchase their own case.. I told them to get a different color though haha..,,,,,,,,,,
3,"I (Gabe) thought that this case all right. It fit the phone decently and didn't cause too many issues. The sliding part is hard to open but it is easy to close. The color is nice and it did not affect the use of the buttons too much. It is not an ideal case, but I would choose this over some of the other ones that I have tried. The slot was the right size for my card, but I do not know if I would want to carry around my card in something like this, because people seem to like to steal phones. Id also be worried about my students picking up my phone and being able to get my card, since the slot is not lockable.The packaging for this was good and easy to open. The included instructions were easy to understand and follow.We did buy this item at a discount for review, but are not affiliated with the seller or Amazon. We pledge to be honest about the good and the bad, and please know that we don't receive compensation for reviews. If you enjoy our product reviews, let us with a comment or a thumbs up!",,,,,,,,,,
3,Very thin and the design is very light and hard to see.,,,,,,,,,,
5,Scratch resistant case. Absorbs impact when phone is dropped,,,,,,,,,,
2,"I bought this product about a year ago, and the old one is awesome, except it has yellowed with age, so it's no longer clear, and makes the phone look old. The new one is pretty bad - sharp edges make it hard to hold, hard plastic makes it less effective as a shield, and worst of all, the buttons and the connection port are ineffective. Plastic is too hard for the power and volume buttons to work without hurting your fingertips, and no tactile feedback. The connector port is too small, so you can't actually use a standard Apple connector on this without taking the sleeve off.",,,,,,,,,,
4,"The sides of this case got super dirty and i had to get rid of the case because it looked gross. For the price though, i got plenty of use out of it. Offered adequate protection to the phone.",,,,,,,,,,
1,"NO SCREEN PROTECTOR, A COMPLETE FRAUD",,,,,,,,,,
5,"I love this case!! I only have two things: 1. I ordered pink but was sent blue which is okay because I like blue just as much; and 2. When the tablet snaps into the case, it is really in there!! I forgot to put the screen protector on so I had to figure out how to get it out of the case. I got it, and the screen protector is better than most. It clinged to the screen great and the air bubbles came out nicely. I would recommend this product to others.",,,,,,,,,,
1,I have had this less then two months. The stitches are coming undone and now last night the plastic frame that holds the phone broke and my phone fell out.,,,,,,,,,,
5,"I just love my case, just as pretty in the picture!",,,,,,,,,,
4,I like the case. I can see the phone's features. Plus it has grips on the side for better handling,,,,,,,,,,
2,Be careful you have to use force when putting this case on and taking it off. After the whole bendgate issue I don't need a case to be my phones downfall. Looks nice so it gets some stars but it's not worth the trouble. I fully understand that the case has to be snugly so it can stay in place but it can't be too tight as for me to battle 20 minutes with it. Had to return it because I did not see my self fighting not with this case.,,,,,,,,,,
5,Cool,,,,,,,,,,
4,"For an ""Apple Certified"" lightning cable this thing sure feels and works cheaply. Mine stopped charging after just 2 weeks, it won't work unless I angle it in a specific position. You're better off with Amazon's lighting cable than this one, I've had my amazon wire for almost a year and it didn't fail me once.I may have received a defective wire but if that's not the case, avoid this product and go for Amazon's lightning cable.UPDATE:Turns out my wire may have had a defect so after getting in contact with Zerolemon, they sent me a new one free of charge. Great service.",,,,,,,,,,
5,"Greaty quallity material, safe screen protector without loosing touch screen sensitive and imagen quality,. really clear with no bubbles.",,,,,,,,,,
5,Great case just gets dirty super easily!,,,,,,,,,,
5,"This was exactly what I was looking for. It fit the device I needed it to hold, and seems to be of good quality.",,,,,,,,,,
1,"These do not have the full circle around the home button as shown in the picture,they have a gap. I searched for one that didn't have a gap on purpose and picture is misleading.",,,,,,,,,,
5,"Case is great, bright color. Have dropped my phone no damage",,,,,,,,,,
1,"Did not last long ,will add to products I will throw out",,,,,,,,,,
5,Bought this for the color.  It stunning. It fits like a glove. Love it!,,,,,,,,,,
4,Works great - much better (and smaller) than the similar but defective Photive brand unit I got.  The unit is really small for the power and socket number.  Only thing I would change is include option of 12v (car) input.  I will probably buy another one soon.,,,,,,,,,,
5,The case is very durable. It makes the phone look really nice! Price point was no bad either.,,,,,,,,,,
3,"Its ok, not a lot of charge to it for the price. Maybe does the phone up 1.5 times. It does charge fast which is great.",,,,,,,,,,
4,I give this a 4 because the flash sucks blury as anything. It is a really cute case and I think it protected my phone as much as it can when I dropped it but I would not recamend dropping your phone.,,,,,,,,,,
5,Perfect fit.,,,,,,,,,,
5,excellent quality great shipping prompt response took care of problem fast now I use product on stand by for two days or call all day and no problem at all,,,,,,,,,,
4,I bought this case to make sure that I had something for my new Galaxy S4 which I bought with a Spigen SlimArmor case.  The dimensions on one thing or another were either vague or dubious so I decided on this case to make sure it would fit without a problem.  It did that to say the least!  Probably an extra half inch in both length and width.  Keep the stylus OUT of the case!  It just scratched up my screen saver on the first time I tried to slip the phone in the case... I'm glad I bought Zagg.,,,,,,,,,,
5,There is no less expensive way to dress up an Apple Watch!,,,,,,,,,,
5,This case had just the right amount of bling I love this case,,,,,,,,,,
5,going strong after a year,,,,,,,,,,
5,"I study the online reviews and make my buying decisions pretty much, based on what others say, rarely taking a chance;. I have the Goal Zero 14w panel as well as this one and although I haven't done a scientific side by side test yet it seems that this panel is more efficient just from charging my cell phone. I GOT THIS ON A LIGHTENING DEAL but I'm glad I bought it due to it's size and efficiency. I am very happy with this purchase and if you are venturing off in to solar I think this a a good way to start. Remember, this is only a charger, it does not store power. You will need a battery to take advantage of the suns power for storage or you can just charge you phone as you need it. I can't talk about amps or any of the electrical terminology that some here can but this panel works for me. At the price I paid I would definitely buy again.",,,,,,,,,,
5,"Love this case!! Fits like a glove and all of the holes and buttons fit perfectly. Has already saved my phone a few times now, love the color too!",,,,,,,,,,
4,"I had been using a slightly smaller Otterbox on my S3 for the past year (I'm not sure which one - it cost $50 and came with a holster that I never used) but the outer rubber casing was getting loose from me fidgeting with it, so I was looking for a new case.  This thing is massive but not that much bigger than what I was used to.  It is military grade, which I think means you can use it as a lethal projectile - it is heavy and hard - but if not could certainly be used as a mallet to make veal scallopine.  Anyway, my only complaint is that the ""home"" button at the center bottom is hard for me to press, although my wife, who has longer fingernails had no trouble with it.  The case is so massive that it does attenuate the microphone and speaker a little bit, but not so much that the phone is unusable without bluetooth.  Other than the ""home"" button (for me) all functionality is easily accessible.  One of the things I particularly like is that this Otterbox has metal latches so I can easily open it up and see how small and slippery the phone itself is (I tend to forget).  Definitely recommend this box if you need your phone in a hostile environment or otherwise worry about dropping it.",,,,,,,,,,
1,"Not one of LG better products.  Poor sound, poor connection, poor data, broke after two months and returned.",,,,,,,,,,
5,good,,,,,,,,,,
5,"Quality, quality, quality!  My Nexus 7 charge port was shot.  This change out (with YouTube help) took 5-10 minutes.  The tools included were a huge help!  Thank you Unifix!",,,,,,,,,,
5,Easy to install. Good value. I feel better now thinking that I have a glass protector in case my phone drops.,,,,,,,,,,
5,Just what I needed,,,,,,,,,,
5,Needed a replacement case after 3 months,,,,,,,,,,
5,Fits great. Like the non-slip grip. It not bulky at all.,,,,,,,,,,
5,"Excellent, so easy to install! Love it!",,,,,,,,,,
5,At the price I thought it woudl be a knock off. But Looks to be authentic. And lasts longer than my old battery.,,,,,,,,,,
5,QUICK SHIPPING. THANKS GREAT BUY.,,,,,,,,,,
5,"Built well and the quick release is perfect. Fits all phones unless you have a big wallet case or something that makes the phone too thick. It holds my Escort Passport radar detector as well. I also have one of these on my desk to hold my phone (or calculator).Tested on LG V10, LG G5, Motorola XT1080, iPhone 6 plus.",,,,,,,,,,
4,I like it but it doesn't work with my new phone! Bummer,,,,,,,,,,
4,I bought this as an adhesive for my Motorola phones screen worked well had no problems worked better when it was heated with the heat gun after application phone screen stayed out and looked like it did before I threw it at the wall and smashed the screen great adhesive all together.,,,,,,,,,,
1,Had it for 1 year and now it won't power up. Do not buy,,,,,,,,,,
